,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
3323,NCT00480441,Dronabinol (substance)|Substance (substance),Dronabinol (substance)|Substance (substance)
3324,NCT00480467,Samarium (substance),Samarium and/or samarium compound (substance)
3325,NCT00480571,Blinatumomab (substance)|B*4003 (substance),Antineoplastic agent (substance)|Gene (substance)
3326,NCT00480701,Iobenguane (123-I) (substance),Radioactive isotope (substance)
3327,NCT00480818,Probucol (substance),Polyphenol (substance)
3328,NCT00480844,Risperidone (substance)|Sertindole (substance),Psychotropic agent (substance)
3329,NCT00480870,Donepezil (substance),Ketone (substance)
3330,NCT00481013,Valproic acid (substance),Psychotropic agent (substance)
3331,NCT00481520,Probucol (substance),Polyphenol (substance)
3332,NCT00481975,Rimonabant (substance),Azole (substance)
3333,NCT00482430,Carbidopa (substance),Catecholamine (substance)
3334,NCT00483028,Donepezil (substance),Ketone (substance)
3335,NCT00483314,Acetylcysteine (substance),Nutrients (substance)
3336,NCT00483379,Alglucosidase alfa (substance),Alglucosidase alfa (substance)
3337,NCT00483535,Clofazimine (substance)|Cocillana (substance),Antileprotic drug (substance)|Skatole (substance)
3338,NCT00483548,Ziprasidone (substance),Psychotropic agent (substance)
3339,NCT00483574,"Viral hepatitis, type A (disorder)|Antigen of Streptococcus pneumoniae capsular polysaccharide conjugated (substance)|Modified measles (disorder)|Antigen of Neisseria meningitidis serogroup A capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance)","Viral hepatitis, type A (disorder)|Immunologic substance (substance)|Modified measles (disorder)"
3340,NCT00483652,Fampridine (substance),Fampridine (substance)
3341,NCT00483704,Talocalcaneal coalition (disorder)|Cabotegravir (substance),Talocalcaneal coalition (disorder)|Cabotegravir (substance)
3342,NCT00483717,Ketorolac trometamol (substance),Analgesic (substance)
3343,NCT00483964,Fried bacon (substance)|Spinach bhaji (substance)|Olanzapine (substance),Bacon (substance)|Spinach bhaji (substance)|Psychotropic agent (substance)
3344,NCT00484471,Valproic acid (substance)|Valproate (substance)|Aripiprazole (substance),Psychotropic agent (substance)
3345,NCT00484536,Cytidine diphosphate (substance),Cytidine diphosphate (substance)
3346,NCT00484692,Bupropion hydrochloride (substance),Ketone (substance)
3347,NCT00484757,Orexin (substance),Orexin (substance)
3348,NCT00485069,Levodopa (substance)|Retinopathy of prematurity (disorder),Catecholamine (substance)|Retinopathy of prematurity (disorder)
3349,NCT00485498,Risperidone (substance)|Olanzapine (substance),Psychotropic agent (substance)
3350,NCT00485511,Hydroxycarbamide (substance),Antineoplastic agent (substance)
3351,NCT00485680,Lithium carbonate (substance)|Olanzapine (substance),Psychotropic agent (substance)
3352,NCT00485771,Lamotrigine (substance)|Olanzapine (substance)|Fluoxetine (substance),Lamotrigine (substance)|Psychotropic agent (substance)
3353,NCT00485810,Olanzapine (substance),Psychotropic agent (substance)
3354,NCT00485823,Olanzapine (substance),Psychotropic agent (substance)
3355,NCT00485862,Sertraline (substance)|Atomoxetine hydrochloride (substance),Psychotropic agent (substance)|Atomoxetine hydrochloride (substance)
3356,NCT00485901,Haloperidol (substance)|Olanzapine (substance),Ketone (substance)|Psychotropic agent (substance)
3357,NCT00486005,Nizatidine (substance)|Olanzapine (substance),Nizatidine (substance)|Psychotropic agent (substance)
3358,NCT00486044,Simvastatin (substance),Antilipemic agent (substance)
3359,NCT00486798,Quetiapine (substance),Psychotropic agent (substance)
3360,NCT00486889,Alglucosidase alfa (substance),Alglucosidase alfa (substance)
3361,NCT00487578,Naratriptan hydrochloride (substance),Amide (substance)
3362,NCT00487630,Agalsidase alfa (substance),Recombinant protein (substance)
3363,NCT00487942,Armodafinil (substance),Psychotropic agent (substance)
3364,NCT00488098,Latamoxef disodium (substance),Amide (substance)
3365,NCT00488163,Atomoxetine (substance),Atomoxetine (substance)
3366,NCT00488319,Paliperidone palmitate (substance),Psychotropic agent (substance)
3367,NCT00488514,Sumatriptan (substance),Amide (substance)
3368,NCT00488566,Protein kinase (substance),Protein kinase (substance)
3369,NCT00488618,Cariprazine (substance),Cariprazine (substance)
3370,NCT00488644,Levothyroxine (substance)|Liothyronine (substance),Levothyroxine (substance)|Liothyronine (substance)
3371,NCT00488670,Escitalopram (substance),Psychotropic agent (substance)
3372,NCT00488839,Baclofen (substance)|Ipecac syrup (substance)|Ipomea (substance),Baclofen (substance)|Antidote (substance)|Ipomea (substance)
3373,NCT00488969,Codeine (substance),Analgesic (substance)
3374,NCT00489073,Duloxetine (substance),Psychotropic agent (substance)
3375,NCT00489255,Trimethobenzamide (substance),Trimethobenzamide (substance)
3376,NCT00489411,Duloxetine hydrochloride (substance),Psychotropic agent (substance)
3377,NCT00489450,Skatole (substance),Skatole (substance)
3378,NCT00489476,Loxapine (substance),Psychotropic agent (substance)
3379,NCT00489489,Interferon beta (substance)|Teriflunomide (substance),Antineoplastic agent (substance)|Immunologic agent (substance)
3380,NCT00489606,Skatole (substance),Skatole (substance)
3381,NCT00489866,Aripiprazole (substance),Psychotropic agent (substance)
3382,NCT00489892,Modafinil (substance),Psychotropic agent (substance)
3383,NCT00490035,Brivaracetam (substance),Brivaracetam (substance)
3384,NCT00490191,Somatotropin (substance),Somatotropin (substance)
3385,NCT00490269,Dronabinol (substance),Dronabinol (substance)
3386,NCT00490516,Silver-104 (substance),Radioactive isotope (substance)
3387,NCT00490542,Ziprasidone (substance),Psychotropic agent (substance)
3388,NCT00490568,Rosiglitazone (substance),Rosiglitazone (substance)
3389,NCT00490789,Sirolimus (substance),Antineoplastic agent (substance)
3390,NCT00490828,Hydrocortisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
3391,NCT00490945,Onasemnogene abeparvovec (substance),Immunologic substance (substance)
3392,NCT00490971,Paliperidone palmitate (substance)|Olanzapine (substance),Psychotropic agent (substance)
3393,NCT00491192,Diclofenac (substance),Analgesic (substance)
3394,NCT00491478,Sertraline (substance),Psychotropic agent (substance)
3395,NCT00491569,Sarcosine dehydrogenase deficiency (disorder),Sarcosine dehydrogenase deficiency (disorder)
3396,NCT00491686,Abrocitinib (substance),Amide (substance)
3397,NCT00491829,"Burn involving 50-59 percent of body surface, with 50-59 percent of body surface with full thickness burn (disorder)|Palladium-100 (substance)","Burn involving 50-59 percent of body surface, with 50-59 percent of body surface with full thickness burn (disorder)|Radioactive isotope (substance)"
3398,NCT00491894,Glycopyrronium bromide (substance),Glycopyrronium bromide (substance)
3399,NCT00491998,Valethamate bromide (substance)|Entacapone (substance),Valethamate (substance)|Entacapone (substance)
3400,NCT00492323,Felbamate (substance),Felbamate (substance)
3401,NCT00492336,Rasagiline (substance),Rasagiline (substance)
3402,NCT00492349,Varenicline (substance),Parasympathomimetic agent (substance)
3403,NCT00492414,Paroxetine (substance),Psychotropic agent (substance)
3404,NCT00492466,Methylprednisolone (substance)|Interferon beta-1a (substance),Corticosteroid and/or corticosteroid derivative (substance)|Antineoplastic agent (substance)
3405,NCT00492635,Vardenafil hydrochloride trihydrate (substance),Amide (substance)
3406,NCT00492765,Simvastatin (substance)|Interferon beta-1a (substance),Antilipemic agent (substance)|Antineoplastic agent (substance)
3407,NCT00493077,Interferon beta-1a (substance),Antineoplastic agent (substance)
3408,NCT00493116,Methylprednisolone (substance)|Interferon beta-1a (substance),Corticosteroid and/or corticosteroid derivative (substance)|Antineoplastic agent (substance)
3409,NCT00493233,Olanzapine embonate (substance),Psychotropic agent (substance)
3410,NCT00494156,Heparin (substance)|Clopidogrel (substance),Anticoagulant (substance)|Clopidogrel (substance)
3411,NCT00494195,Recombinant non-replicating human adenovirus 26 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance),Recombinant non-replicating human adenovirus 26 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)
3412,NCT00494377,Duloxetine (substance),Psychotropic agent (substance)
3413,NCT00494468,Zolpidem (substance),Azole (substance)
3414,NCT00494507,Diclofenamide (substance),Amide (substance)
3415,NCT00494728,Nicotine resin complex (substance),Parasympathomimetic agent (substance)
3416,NCT00494962,Lecithin (substance),Lecithin (substance)
3417,NCT00495092,Caffeine (substance)|Biperiden (substance),Psychotropic agent (substance)|Biperiden (substance)
3418,NCT00495118,Risperidone (substance),Psychotropic agent (substance)
3419,NCT00495183,Caffeine (substance)|Biperiden (substance),Psychotropic agent (substance)|Biperiden (substance)
3420,NCT00495274,Glatiramer acetate (substance)|Polysaccharide-iron complex (substance)|Nonacog gamma (substance)|Antigen of Haemophilus influenzae type b capsular polysaccharide conjugated (substance)|Trichrome stain (substance)|Complement factor D (substance)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated (substance),Immunosuppressant (substance)|Polysaccharide-iron complex (substance)|Blood component (substance)|Immunologic substance (substance)|Trichrome stain (substance)
3421,NCT00495352,Bupropion (substance),Ketone (substance)
3422,NCT00495417,Incomplete adjuvant (substance)|Aducanumab (substance),Immunologic substance (substance)
3423,NCT00495690,Zinc gluconate (substance),Zinc and/or zinc compound (substance)
3424,NCT00495729,Simvastatin (substance)|Ticarcillin disodium (substance),Antilipemic agent (substance)|Amide (substance)
3425,NCT00495820,Methylphenidate (substance),Psychotropic agent (substance)
3426,NCT00495885,Pimavanserin (substance),Psychotropic agent (substance)
3427,NCT00496379,Tazemetostat hydrobromide (substance),Antineoplastic agent (substance)
3428,NCT00496457,Test control (substance),Test control (substance)
3429,NCT00497055,Aripiprazole (substance),Psychotropic agent (substance)
3430,NCT00497081,Mirtazapine (substance),Psychotropic agent (substance)
3431,NCT00497120,Acetazolamide (substance),Diuretic (substance)
3432,NCT00497159,Sparteine (substance),Sparteine (substance)
3433,NCT00497562,Mecasermin rinfabate (substance)|Amitriptyline (substance),Somatomedin C (substance)|Psychotropic agent (substance)
3434,NCT00497952,Syngeneic fluid containing peripheral blood stem cells (substance),Fluid containing hemopoietic stem cells (substance)
3435,NCT00498004,Quetiapine (substance),Psychotropic agent (substance)
3436,NCT00498186,Rotigotine (substance),Rotigotine (substance)
3437,NCT00498485,Sodium oxybate (substance),General anesthetic (substance)
3438,NCT00498550,Test control (substance)|Clozapine (substance),Test control (substance)|Psychotropic agent (substance)
3439,NCT00498602,Lymphocyte antigen CD3 (substance)|Itaqui virus disease (disorder)|Callaloo and cho cho (substance),Immunologic substance (substance)|Itaqui virus disease (disorder)|Callaloo and cho cho (substance)
3440,NCT00498680,Sildenafil (substance)|Vardenafil (substance),Amide (substance)
3441,NCT00499200,B*3504 (substance),Gene (substance)
3442,NCT00499642,Moxifloxacin (substance)|Lecithin (substance),Moxifloxacin (substance)|Lecithin (substance)
3443,NCT00499993,Lanreotide acetate (substance),Lanreotide acetate (substance)
3444,NCT00500201,Chocolate covered wafer/biscuit bar (substance)|Antimony-120 (substance),Chocolate covered wafer/biscuit bar (substance)|Radioactive isotope (substance)
3445,NCT00500500,Gastrin-71 (substance),Gastrin-71 (substance)
3446,NCT00500812,Cethromycin (substance),Ketolide (substance)
3447,NCT00500890,Cyclophosphamide (substance)|Vincristine (substance)|Etoposide (substance)|Carboplatin (substance),Immunologic agent (substance)|Antineoplastic agent (substance)
3448,NCT00501111,Axitinib (substance)|Donepezil (substance),Antineoplastic agent (substance)|Ketone (substance)
3449,NCT00501618,Clozapine (substance),Psychotropic agent (substance)
3450,NCT00501696,Naltrexone hydrochloride (substance)|Naltrexone (substance),Antidote (substance)
3451,NCT00501748,Rituximab (substance),Antineoplastic agent (substance)
3452,NCT00501865,Clofazimine (substance),Antileprotic drug (substance)
3453,NCT00501943,Interferon beta-1a (substance)|Riluzole (substance),Antineoplastic agent (substance)|Riluzole (substance)
3454,NCT00502216,Naltrexone (substance)|Varenicline (substance),Antidote (substance)|Parasympathomimetic agent (substance)
3455,NCT00502515,Latamoxef disodium (substance),Amide (substance)
3456,NCT00503204,Capmatinib (substance)|Lomustine (substance),Antineoplastic agent (substance)|Immunologic agent (substance)
3457,NCT00503516,Megestrol acetate (substance),Antineoplastic agent (substance)
3458,NCT00503529,Antigen of Tick-borne encephalitis virus (substance),Immunologic substance (substance)
3459,NCT00504348,Tacrolimus (substance),Immunosuppressant (substance)
3460,NCT00504413,Methadone (substance)|Bupropion (substance)|Digoxin (substance),Analgesic (substance)|Ketone (substance)|Plant extract (substance)
3461,NCT00504881,Brivaracetam (substance),Brivaracetam (substance)
3462,NCT00505076,Carbidopa (substance),Catecholamine (substance)
3463,NCT00505167,Memantine (substance)|Donepezil (substance),Memantine (substance)|Ketone (substance)
3464,NCT00505284,Helium-4 (substance)|Periodontal pack - eugenol-free (substance)|Helium-8 (substance)|Antibody to Hepatitis C virus E2 (substance),Helium-4 (substance)|Periodontal pack (substance)|Helium-8 (substance)|Immunologic substance (substance)
3465,NCT00505505,Insulin aspart (substance),Insulin (substance)
3466,NCT00505622,Perampanel (substance),Perampanel (substance)
3467,NCT00505687,Rotigotine (substance),Rotigotine (substance)
