,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
16631,NCT01096082,atax,766818009,X-linked non progressive cerebellar ataxia (disorder),10.6797,"[223176004, 763597000]","['Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Cerebellar disorder (disorder)
16633,NCT01096082,machado-joseph disease,91952008,Azorean disease (disorder),0.0,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
16634,NCT01096082,sca 3,91952008,Azorean disease (disorder),8.8875,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
16635,NCT01096082,sca-3,91952008,Azorean disease (disorder),11.7697,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
16636,NCT01096082,sca3,91952008,Azorean disease (disorder),9.5811,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
16637,NCT01096082,spinocerebellar ataxia type 3,91952008,Azorean disease (disorder),0.0,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
16638,NCT01096095,spinocerebellar ataxtia type 3,91952008,Azorean disease (disorder),4.7702,"[48522003, 223176004, 763597000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)']",Spinal cord disorder (disorder)
16641,NCT01096329,surgically and naturally post-menopausal,371036001,Postsurgical menopause (disorder),9.573,"[738668004, 266607004]","['Perioperative complication (disorder)', 'Perimenopausal disorder (disorder)']",Perioperative complication (disorder)
16643,NCT01096797,adenotonsil surgery,66622006,Hypertrophy of both palatine AND pharyngeal tonsils (disorder),11.6513,"[232208008, 50410009, 50043002, 76712006, 362971004]","['Ear, nose and throat disorder (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of respiratory system (disorder)', 'Disorder of digestive organ (disorder)', 'Disorder of lymphatic system (disorder)']","Ear, nose and throat disorder (disorder)"
16644,NCT01096797,adenotonsillectomy,110138006,Avulsion of tonsil (disorder),11.9624,"[232208008, 284554003, 50410009, 50043002, 76712006, 362971004]","['Ear, nose and throat disorder (disorder)', 'Avulsion - injury (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of respiratory system (disorder)', 'Disorder of digestive organ (disorder)', 'Disorder of lymphatic system (disorder)']","Ear, nose and throat disorder (disorder)"
16652,NCT01097668,relapsing forms of multiple sclerosis,724778008,Progressive relapsing multiple sclerosis (disorder),5.9585,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
16653,NCT01097668,relapsing multiple sclerosis,724778008,Progressive relapsing multiple sclerosis (disorder),4.9867,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
16659,NCT01097798,sprains,105611005,Sprain of ligament of joint (disorder),6.5114,"[282026002, 105969002, 88230002, 105606008]","['Soft tissue injury (disorder)', 'Disorder of connective tissue (disorder)', 'Disorder of skeletal system (disorder)', 'Injury of musculoskeletal system (disorder)']",Soft tissue injury (disorder)
16660,NCT01097798,"sprains,",105611005,Sprain of ligament of joint (disorder),6.4372,"[282026002, 105969002, 88230002, 105606008]","['Soft tissue injury (disorder)', 'Disorder of connective tissue (disorder)', 'Disorder of skeletal system (disorder)', 'Injury of musculoskeletal system (disorder)']",Soft tissue injury (disorder)
16661,NCT01097798,tendinitis,34840004,Tendinitis (disorder),0.0,"[128482007, 128481000, 105969002]","['Acute inflammatory disease (disorder)', 'Acute disease of musculoskeletal system (disorder)', 'Disorder of connective tissue (disorder)']",Acute inflammatory disease (disorder)
16664,NCT01098110,acute exacerbation of schizophrenia,191531007,Acute exacerbation of chronic schizophrenia (disorder),5.2637,"[65971000052100, 128293007, 58214004]","['Acute psychosis (disorder)', 'Chronic mental disorder (disorder)', 'Schizophrenia (disorder)']",Acute psychosis (disorder)
16674,NCT01099501,mechanically ventilated,233813006,Ventilator-associated lung injury (disorder),10.2838,"[48125009, 400209005, 50043002]","['Injury of trunk (disorder)', 'Injury caused by causative force (disorder)', 'Disorder of respiratory system (disorder)']",Injury of trunk (disorder)
16678,NCT01099761,duchenne muscular dystrophy,76670001,Duchenne muscular dystrophy (disorder),0.0085,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
16679,NCT01099761,"muscular dystrophy, duchenne",76670001,Duchenne muscular dystrophy (disorder),2.1429,"[276654001, 363058009, 75047002]","['Congenital malformation (disorder)', 'Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Congenital malformation (disorder)
16685,NCT01100554,upper airway obstruction,68372009,Upper respiratory tract obstruction (disorder),5.9974,"[232208008, 50043002]","['Ear, nose and throat disorder (disorder)', 'Disorder of respiratory system (disorder)']","Ear, nose and throat disorder (disorder)"
16686,NCT01100658,attention deficit hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),0.0041,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16687,NCT01100658,attention deficits,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",6.8954,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16709,NCT01102101,"neuralgia, postherpetic",2177002,Postherpetic neuralgia (disorder),2.2055,"[17111003, 123948009, 363302008]","['Postinfectious neuralgia (disorder)', 'Disorder following viral disease (disorder)', 'Sequelae of neurological disorders (disorder)']",Postinfectious neuralgia (disorder)
16712,NCT01102101,postherpetic patients,2177002,Postherpetic neuralgia (disorder),10.1003,"[17111003, 123948009, 363302008]","['Postinfectious neuralgia (disorder)', 'Disorder following viral disease (disorder)', 'Sequelae of neurological disorders (disorder)']",Postinfectious neuralgia (disorder)
16713,NCT01102270,"sleep apnea, obstructive",78275009,Obstructive sleep apnea syndrome (disorder),2.3482,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16723,NCT01103362,hsdd,791000124107,2-methyl-3-hydroxybutyric aciduria (disorder),9.0239,"[128289001, 128283000, 44779003]","['Chronic metabolic disorder (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of amino acid metabolism (disorder)']",Chronic metabolic disorder (disorder)
16728,NCT01103583,primary progressive ms,428700003,Primary progressive multiple sclerosis (disorder),4.3229,"[24700007, 128283000]","['Multiple sclerosis (disorder)', 'Chronic nervous system disorder (disorder)']",Multiple sclerosis (disorder)
16737,NCT01104649,dominant ataxias,10394003,Friedreich ataxia (disorder),7.2676,"[48522003, 223176004, 763597000, 128283000]","['Spinal cord disorder (disorder)', 'Cerebellar disorder (disorder)', 'Hereditary ataxia (disorder)', 'Chronic nervous system disorder (disorder)']",Spinal cord disorder (disorder)
16739,NCT01104649,hereditary cerebellar ataxia,46808003,Marie's cerebellar ataxia (disorder),0.0,"[763597000, 11164009]","['Hereditary ataxia (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Hereditary ataxia (disorder)
16740,NCT01104649,hereditary cerebellar ataxias,46808003,Marie's cerebellar ataxia (disorder),2.172,"[763597000, 11164009]","['Hereditary ataxia (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Hereditary ataxia (disorder)
16742,NCT01104766,acute exacerbation of schizophrenia,191531007,Acute exacerbation of chronic schizophrenia (disorder),5.2637,"[65971000052100, 128293007, 58214004]","['Acute psychosis (disorder)', 'Chronic mental disorder (disorder)', 'Schizophrenia (disorder)']",Acute psychosis (disorder)
16743,NCT01104779,acute exacerbation of schizophrenia,191531007,Acute exacerbation of chronic schizophrenia (disorder),5.2637,"[65971000052100, 128293007, 58214004]","['Acute psychosis (disorder)', 'Chronic mental disorder (disorder)', 'Schizophrenia (disorder)']",Acute psychosis (disorder)
16748,NCT01106716,"neuralgia, postherpetic",2177002,Postherpetic neuralgia (disorder),2.2055,"[17111003, 123948009, 363302008]","['Postinfectious neuralgia (disorder)', 'Disorder following viral disease (disorder)', 'Sequelae of neurological disorders (disorder)']",Postinfectious neuralgia (disorder)
16753,NCT01108029,attention deficit,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",3.6985,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16754,NCT01108029,attention disorders,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",5.5173,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16755,NCT01108029,dopaminergic depletion,1260381005,Parkinsonism caused by dopamine depleting agent (disorder),9.2491,"[32798002, 47362003]","['Parkinsonism (disorder)', 'Medication-induced movement disorder (disorder)']",Parkinsonism (disorder)
16770,NCT01108601,carboplatin,386905002,Carboplatin,0.0,"[372688009, 312413002]","['Antineoplastic agent (substance)', 'Substance categorized by structure (substance)']",Carboplatin
16771,NCT01108601,carboplatin chemotherapy,386905002,Carboplatin chemotherapy,4.2812,"[372688009, 312413002]","['Antineoplastic agent (substance)', 'Substance categorized by structure (substance)']",Carboplatin chemotherapy
16772,NCT01108601,cisplatin,387318005,Cisplatin,0.0,"[372688009, 312413002]","['Antineoplastic agent (substance)', 'Substance categorized by structure (substance)']",Cisplatin
16773,NCT01108601,cisplatin or,387318005,Cisplatin or,7.2031,"[372688009, 312413002]","['Antineoplastic agent (substance)', 'Substance categorized by structure (substance)']",Cisplatin or
16793,NCT01110187,nsicu,239826001,"Chronic infantile neurological, cutaneous and articular syndrome (disorder)",13.4413,"[363177008, 58184002, 416113008, 88230002]","['Inflammatory disorder of immune system (disorder)', 'Recurrent disease (disorder)', 'Febrile disorder (disorder)', 'Disorder of skeletal system (disorder)']",Inflammatory disorder of immune system (disorder)
16796,NCT01110187,stbi,20378006,Stbi,11.7867,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Stbi
16804,NCT01110720,progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),0.002,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
16805,NCT01110720,"supranuclear palsy, progressive",192976002,Progressive supranuclear palsy (disorder),2.2785,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
16808,NCT01111097,rmbts,721904001,Rombo syndrome (disorder),13.6488,"[95320005, 11164009]","['Disorder of skin (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Disorder of skin (disorder)
16819,NCT01112683,down syndrome,41040004,Complete trisomy 21 syndrome (disorder),0.0,"[409709004, 276654001]","['Chromosomal disorder (disorder)', 'Congenital malformation (disorder)']",Chromosomal disorder (disorder)
16820,NCT01112683,ds,387096002,Ds,12.4175,"[372688009, 312413002]","['Antineoplastic agent (substance)', 'Substance categorized by structure (substance)']",Ds
16825,NCT01112748,peripheral nerve injuries,73590005,Injury of peripheral nerve (disorder),1.7726,"[57182000, 282026002, 302226006]","['Nerve injury (disorder)', 'Soft tissue injury (disorder)', 'Peripheral nerve disease (disorder)']",Nerve injury (disorder)
16840,NCT01114100,chest pain,50417007,Lower respiratory tract infection (disorder),10.5334,"[40733004, 50043002]","['Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']",Infectious disease (disorder)
16842,NCT01114100,noncardiac chest pain,194828000,Angina (disorder),12.5951,"[56265001, 48125009]","['Heart disease (disorder)', 'Injury of trunk (disorder)']",Heart disease (disorder)
16846,NCT01114737,phenylketonuria,190687004,Phenylketonuria (disorder),0.0034,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
16847,NCT01114737,phenylketonurias,190687004,Phenylketonuria (disorder),2.3806,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
16848,NCT01114737,pku,58256000,Dihydropteridine reductase deficiency (disorder),8.5526,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
16850,NCT01115530,deconditioned,410431009,Cardiorespiratory failure (disorder),12.6065,"[50043002, 56265001]","['Disorder of respiratory system (disorder)', 'Heart disease (disorder)']",Disorder of respiratory system (disorder)
