,Neurological Disease,Source,Disease Class
5744,"Epilepsy, Progressive Myoclonus",MeSH,Central Nervous System Diseases
5745,"Epilepsy, Progressive Myoclonus 1",MeSH,Central Nervous System Diseases
5746,"Epilepsy, Psychic Equivalent",MeSH,Central Nervous System Diseases
5747,"Epilepsy, Psychomotor",MeSH,Central Nervous System Diseases
5748,"Epilepsy, Reflex",MeSH,Central Nervous System Diseases
5749,"Epilepsy, Refractory",MeSH,Central Nervous System Diseases
5750,"Epilepsy, Rolandic",MeSH,Central Nervous System Diseases
5751,"Epilepsy, Rolands",MeSH,Central Nervous System Diseases
5752,"Epilepsy, Sensory Partial",MeSH,Central Nervous System Diseases
5753,"Epilepsy, Sylvian",MeSH,Central Nervous System Diseases
5754,"Epilepsy, Syndromic",MeSH,Central Nervous System Diseases
5755,"Epilepsy, Temporal Lobe",MeSH,Central Nervous System Diseases
5756,"Epilepsy, Tonic Clonic",MeSH,Central Nervous System Diseases
5757,"Epilepsy, Tonic-Clonic",MeSH,Central Nervous System Diseases
5758,"Epilepsy, Traumatic",MeSH,Central Nervous System Diseases
5759,"Epileptic Aphasia, Acquired",MeSH,Central Nervous System Diseases
5760,"Epileptic Aphasias, Acquired",MeSH,Central Nervous System Diseases
5761,Epileptic Syndrome,MeSH,Central Nervous System Diseases
5762,Epileptic Syndromes,MeSH,Central Nervous System Diseases
5763,Epileptic encephalopathies,ICD,Diseases of the nervous system
5764,"Epileptiform Aphasia, Acquired",MeSH,Central Nervous System Diseases
5765,"Epileptiform Aphasias, Acquired",MeSH,Central Nervous System Diseases
5766,Epileptiform Neuralgia,MeSH,Cranial Nerve Diseases
5767,Epileptiform Neuralgias,MeSH,Cranial Nerve Diseases
5768,Epiloia,MeSH,Neurocutaneous Syndromes
5769,Episiotomy infection,ICD,Diseases of the nervous system
5770,"Episode of harmful use of MDMA or related drugs, including MDA",ICD,Diseases of the nervous system
5771,Episode of harmful use of alcohol,ICD,Diseases of the nervous system
5772,Episode of harmful use of caffeine,ICD,Diseases of the nervous system
5773,Episode of harmful use of cannabis,ICD,Diseases of the nervous system
5774,Episode of harmful use of cocaine,ICD,Diseases of the nervous system
5775,Episode of harmful use of dissociative drugs including ketamine or PCP,ICD,Diseases of the nervous system
5776,Episode of harmful use of hallucinogens,ICD,Diseases of the nervous system
5777,Episode of harmful use of multiple specified psychoactive substances,ICD,Diseases of the nervous system
5778,Episode of harmful use of nicotine,ICD,Diseases of the nervous system
5779,Episode of harmful use of non-psychoactive substances,ICD,Diseases of the nervous system
5780,Episode of harmful use of opioids,ICD,Diseases of the nervous system
5781,Episode of harmful use of other specified psychoactive substance,ICD,Diseases of the nervous system
5782,"Episode of harmful use of sedatives, hypnotics or anxiolytics",ICD,Diseases of the nervous system
5783,"Episode of harmful use of stimulants including amphetamines, methamphetamine or methcathinone",ICD,Diseases of the nervous system
5784,Episode of harmful use of synthetic cannabinoids,ICD,Diseases of the nervous system
5785,Episode of harmful use of synthetic cathinones,ICD,Diseases of the nervous system
5786,Episode of harmful use of unknown or unspecified psychoactive substances,ICD,Diseases of the nervous system
5787,Episode of harmful use of volatile inhalants,ICD,Diseases of the nervous system
5788,Episodic anisocoria,ICD,Diseases of the nervous system
5789,Episodic ataxia type 1 - KCNA1 mutation,ICD,Diseases of the nervous system
5790,Episodic ataxia type 2 - CACNA1A mutation,ICD,Diseases of the nervous system
5791,Episodic ataxia type 3 - 1q42 mutation,ICD,Diseases of the nervous system
5792,Episodic ataxia type 4,ICD,Diseases of the nervous system
5793,Episodic ataxia type 5 - CACNB4 mutation,ICD,Diseases of the nervous system
5794,Episodic ataxia type 6,ICD,Diseases of the nervous system
5795,Episodic ataxia type 7,ICD,Diseases of the nervous system
5796,Episodic cluster headache,ICD,Diseases of the nervous system
5797,Episodic paroxysmal hemicrania,ICD,Diseases of the nervous system
5798,Episodic syndromes that may be associated with migraine,ICD,Diseases of the nervous system
5799,Episodic vestibular syndrome,ICD,Diseases of the nervous system
5800,Episodic vestibular syndrome due to a depressive episode,ICD,Diseases of the nervous system
5801,Episodic vestibular syndrome due to anxiety or fear-related disorders,ICD,Diseases of the nervous system
5802,Episodic vestibular syndrome due to cerebrovascular disease,ICD,Diseases of the nervous system
5803,Episodic vestibular syndrome due to diseases of the circulatory system,ICD,Diseases of the nervous system
5804,Episodic vestibular syndrome due to orthostatic hypotension,ICD,Diseases of the nervous system
5805,"Equine Encephalitides, Eastern",MeSH,Central Nervous System Diseases
5806,Equine Encephalitis,MeSH,Central Nervous System Diseases
5807,"Equine Encephalitis, Eastern",MeSH,Central Nervous System Diseases
5808,"Equine Encephalitis, Venezuelan",MeSH,Central Nervous System Diseases
5809,"Equine Encephalitis, Western",MeSH,Central Nervous System Diseases
5810,"Equine Encephalomyelitides, Eastern",MeSH,Central Nervous System Diseases
5811,"Equine Encephalomyelitides, Venezuelan",MeSH,Central Nervous System Diseases
5812,Equine Encephalomyelitis,MeSH,Central Nervous System Diseases
5813,Equine Encephalomyelitis Viral Infections,MeSH,Central Nervous System Diseases
5814,Equine Encephalomyelitis Virus Infections,MeSH,Central Nervous System Diseases
5815,"Equine Encephalomyelitis, Eastern",MeSH,Central Nervous System Diseases
5816,"Equine Encephalomyelitis, Venezuelan",MeSH,Central Nervous System Diseases
5817,Erb paralysis,ICD,Diseases of the nervous system
5818,Erb's paralysis due to avulsion,ICD,Diseases of the nervous system
5819,Erb's paralysis due to neuroma,ICD,Diseases of the nervous system
5820,Erb's paralysis due to neuropraxis,ICD,Diseases of the nervous system
5821,Erb's paralysis due to rupture,ICD,Diseases of the nervous system
5822,Erectile dysfunction caused by arterial disorders,ICD,Diseases of the nervous system
5823,Erectile dysfunction caused by endocrine disorders,ICD,Diseases of the nervous system
5824,Erectile dysfunction caused by external causes or injury,ICD,Diseases of the nervous system
5825,Erectile dysfunction caused by fibrosis of the cavernosal bodies,ICD,Diseases of the nervous system
5826,Erectile dysfunction caused by neurogenic disorders,ICD,Diseases of the nervous system
5827,Erectile dysfunction caused by other disorders,ICD,Diseases of the nervous system
5828,Erectile dysfunction caused by venous disorders,ICD,Diseases of the nervous system
5829,Erectile dysfunction due to diabetes mellitus,ICD,Diseases of the nervous system
5830,Ergotamine-overuse headache,ICD,Diseases of the nervous system
5831,"Erythema, Acrodynic",MeSH,Neurotoxicity Syndromes
5832,Erythrophobia,ICD,Diseases of the nervous system
5833,Escherichia coli Meningitides,MeSH,Central Nervous System Diseases
5834,Escherichia coli Meningitis,MeSH,Central Nervous System Diseases
5835,Esotropia,MeSH,Cranial Nerve Diseases
5836,Esotropias,MeSH,Cranial Nerve Diseases
5837,Essential Tremor,MeSH,Central Nervous System Diseases
5838,"Essential Tremor, Benign",MeSH,Central Nervous System Diseases
5839,Essential Tremors,MeSH,Central Nervous System Diseases
5840,"Essential Tremors, Benign",MeSH,Central Nervous System Diseases
5841,Essential myoclonus,ICD,Diseases of the nervous system
5842,Essential tremor or related tremors,ICD,Diseases of the nervous system
5843,Esthesioneuroblastoma,MeSH,Cranial Nerve Diseases
5844,"Esthesioneuroblastoma, Olfactory",MeSH,Cranial Nerve Diseases
5845,"Esthesioneuroblastoma, Paranasal Sinus Nasal Cavity",MeSH,Cranial Nerve Diseases
5846,"Esthesioneuroblastoma, Paranasal Sinus-Nasal Cavity",MeSH,Cranial Nerve Diseases
5847,Esthesioneuroblastomas,MeSH,Cranial Nerve Diseases
5848,"Esthesioneuroblastomas, Olfactory",MeSH,Cranial Nerve Diseases
5849,"Ethanol Induced Disorders, Nervous System",MeSH,Neurotoxicity Syndromes
5850,Ethanol Induced Nervous System Disorders,MeSH,Neurotoxicity Syndromes
5851,"Ethanol-Induced Disorders, Nervous System",MeSH,Neurotoxicity Syndromes
5852,Ethanol-Induced Nervous System Disorders,MeSH,Neurotoxicity Syndromes
5853,Ethyl Alcohol Abuse Neurologic Syndromes,MeSH,Neurotoxicity Syndromes
5854,"Eustachian tube injury, unspecified",ICD,Diseases of the nervous system
5855,Ex-vacuo hydrocephalus,ICD,Diseases of the nervous system
5856,Ex-vacuo hydrocephalus due to ageing,ICD,Diseases of the nervous system
5857,Ex-vacuo hydrocephalus due to degeneration,ICD,Diseases of the nervous system
5858,Ex-vacuo hydrocephalus due to infection,ICD,Diseases of the nervous system
5859,Ex-vacuo hydrocephalus due to inflammatory disease,ICD,Diseases of the nervous system
5860,Ex-vacuo hydrocephalus due to injuries to the brain,ICD,Diseases of the nervous system
5861,Ex-vacuo hydrocephalus due to radiation therapy,ICD,Diseases of the nervous system
5862,Ex-vacuo hydrocephalus due to vascular disease,ICD,Diseases of the nervous system
5863,Examination phobia,ICD,Diseases of the nervous system
5864,Excessive Periodic Sleep Related Leg Movements,MeSH,Sleep Wake Disorders
5865,Excessive Periodic Sleep-Related Leg Movements,MeSH,Sleep Wake Disorders
5866,Excessive Somnolence Disorder,MeSH,Sleep Wake Disorders
5867,Excessive Somnolence Disorders,MeSH,Sleep Wake Disorders
5868,Excessive startle reflex,ICD,Diseases of the nervous system
5869,"Excitement, Emergence",MeSH,Neurologic Manifestations
5870,"Excitement, Postanesthetic",MeSH,Neurologic Manifestations
5871,"Excitement, Psychomotor",MeSH,Neurologic Manifestations
5872,Excoriation disorder,ICD,Diseases of the nervous system
5873,Exencephaly,ICD,Diseases of the nervous system
5874,Exertional dizziness,ICD,Diseases of the nervous system
5875,Exhibitionistic disorder,ICD,Diseases of the nervous system
5876,Exotropia,MeSH,Cranial Nerve Diseases
5877,Experimental Allergic Encephalomyelitides,MeSH,Autoimmune Diseases of the Nervous System
5878,Experimental Allergic Encephalomyelitis,MeSH,Autoimmune Diseases of the Nervous System
5879,Experimental Allergic Neuritis,MeSH,Autoimmune Diseases of the Nervous System
5880,Experimental Autoimmune Encephalomyelitis,MeSH,Autoimmune Diseases of the Nervous System
5881,Experimental Autoimmune Neuritis,MeSH,Autoimmune Diseases of the Nervous System
5882,Experimental Autoimmune Neuropathies,MeSH,Autoimmune Diseases of the Nervous System
5883,Experimental Autoimmune Neuropathy,MeSH,Autoimmune Diseases of the Nervous System
5884,"Experimental Encephalomyelitis, Autoimmune",MeSH,Autoimmune Diseases of the Nervous System
5885,Experimental Myasthenia,MeSH,Autoimmune Diseases of the Nervous System
5886,Experimental Myasthenia Gravis,MeSH,Autoimmune Diseases of the Nervous System
5887,Experimental Myasthenias,MeSH,Autoimmune Diseases of the Nervous System
5888,Expressive dysphasia,ICD,Diseases of the nervous system
5889,Expressive-receptive aphasia,ICD,Diseases of the nervous system
5890,"External Ophthalmoplegia, Progressive",MeSH,Neurologic Manifestations
5891,External bilateral paralysis of oculomotor nerve,ICD,Diseases of the nervous system
5892,External compression headache,ICD,Diseases of the nervous system
5893,External constriction of part of scalp,ICD,Diseases of the nervous system
5894,External hydrocephalus,ICD,Diseases of the nervous system
5895,"External ophthalmoplegia, not elsewhere classified",ICD,Diseases of the nervous system
5896,Extradural Abscess,MeSH,Central Nervous System Diseases
5897,"Extradural Hematoma, Cranial",MeSH,"Trauma, Nervous System"
5898,"Extradural Hematomas, Cranial",MeSH,"Trauma, Nervous System"
5899,"Extradural Hemorrhage, Cranial",MeSH,"Trauma, Nervous System"
5900,"Extradural Hemorrhages, Cranial",MeSH,"Trauma, Nervous System"
5901,Extradural brain abscess,ICD,Diseases of the nervous system
5902,Extradural haemorrhage due to birth injury,ICD,Diseases of the nervous system
5903,Extradural nontraumatic haemorrhage of fetus or newborn,ICD,Diseases of the nervous system
5904,Extradural or epidural haemorrhage due to birth injury,ICD,Diseases of the nervous system
5905,Extramedullary Spinal Cord Compression,MeSH,Central Nervous System Diseases
5906,Extraneural perineurioma,ICD,Diseases of the nervous system
5907,Extraocular myositis,ICD,Diseases of the nervous system
5908,Extrapontine central pontine myelinolysis,ICD,Diseases of the nervous system
5909,Extrusive luxation of tooth,ICD,Diseases of the nervous system
5910,Eye Burn,MeSH,"Trauma, Nervous System"
5911,Eye Burns,MeSH,"Trauma, Nervous System"
5912,Eye Foreign Bodies,MeSH,"Trauma, Nervous System"
5913,Eye Foreign Body,MeSH,"Trauma, Nervous System"
5914,Eye Foreign Object,MeSH,"Trauma, Nervous System"
5915,Eye Foreign Objects,MeSH,"Trauma, Nervous System"
5916,Eye Injuries,MeSH,"Trauma, Nervous System"
5917,"Eye Injuries, Penetrating",MeSH,"Trauma, Nervous System"
5918,Eye Injury,MeSH,"Trauma, Nervous System"
5919,"Eye Injury, Penetrating",MeSH,"Trauma, Nervous System"
5920,Eye Motility Disorder,MeSH,Central Nervous System Diseases
5921,Eye Motility Disorders,MeSH,Central Nervous System Diseases
5922,Eye Movement Disorder,MeSH,Central Nervous System Diseases
5923,Eye Movement Disorders,MeSH,Central Nervous System Diseases
5924,Eyeball Entrapment,ICD,Diseases of the nervous system
5925,Eyelid Avulsion,ICD,Diseases of the nervous system
5926,Eyelid tic,ICD,Diseases of the nervous system
5927,Eyelid trauma,ICD,Diseases of the nervous system
5928,FSH Muscular Dystrophy,MeSH,Neuromuscular Diseases
5929,FTD-GRN,MeSH,Neurodegenerative Diseases
5930,FTD-PGRN,MeSH,Neurodegenerative Diseases
5931,FTDP-17,MeSH,Neurodegenerative Diseases
5932,FTLD,MeSH,Neurodegenerative Diseases
5933,FTLD with TDP 43 Pathology,MeSH,Neurodegenerative Diseases
5934,FTLD with TDP-43 Pathology,MeSH,Neurodegenerative Diseases
5935,FTLD-17 GRN,MeSH,Neurodegenerative Diseases
5936,FTLD-TDP,MeSH,Neurodegenerative Diseases
5937,FTLDs,MeSH,Neurodegenerative Diseases
5938,Fabry Disease,MeSH,Central Nervous System Diseases
5939,Fabry's Disease,MeSH,Central Nervous System Diseases
5940,Facial Hemiatrophies,MeSH,Cranial Nerve Diseases
5941,"Facial Hemiatrophies, Progressive",MeSH,Cranial Nerve Diseases
5942,Facial Hemiatrophy,MeSH,Cranial Nerve Diseases
5943,Facial Hemiatrophy of Romberg,MeSH,Cranial Nerve Diseases
5944,"Facial Hemiatrophy, Progressive",MeSH,Cranial Nerve Diseases
5945,Facial Injuries,MeSH,"Trauma, Nervous System"
5946,Facial Injury,MeSH,"Trauma, Nervous System"
5947,Facial Nerve Disease,MeSH,Cranial Nerve Diseases
5948,Facial Nerve Diseases,MeSH,Cranial Nerve Diseases
5949,Facial Nerve Disorder,MeSH,Cranial Nerve Diseases
5950,Facial Nerve Disorders,MeSH,Cranial Nerve Diseases
5951,Facial Nerve Injuries,MeSH,Cranial Nerve Diseases
5952,Facial Nerve Injury,MeSH,Cranial Nerve Diseases
5953,Facial Nerve Trauma,MeSH,Cranial Nerve Diseases
5954,Facial Nerve Traumas,MeSH,Cranial Nerve Diseases
5955,Facial Neuralgia,MeSH,Cranial Nerve Diseases
5956,Facial Neuralgias,MeSH,Cranial Nerve Diseases
5957,Facial Neuropathies,MeSH,Cranial Nerve Diseases
5958,Facial Neuropathy,MeSH,Cranial Nerve Diseases
5959,"Facial Neuropathy, Cheilitis Granulomatosa, Orofacial Edema",MeSH,Cranial Nerve Diseases
5960,"Facial Neuropathy, Idiopathic Acute",MeSH,Cranial Nerve Diseases
5961,"Facial Neuropathy, Inflammatory, Acute",MeSH,Cranial Nerve Diseases
5962,"Facial Neuropathy, Orofacial Edema, Cheilitis Granulomatosa",MeSH,Cranial Nerve Diseases
5963,"Facial Neuropathy, Traumatic",MeSH,Cranial Nerve Diseases
5964,Facial Pain Syndrome,MeSH,Cranial Nerve Diseases
5965,Facial Pain Syndromes,MeSH,Cranial Nerve Diseases
5966,Facial Palsies,MeSH,Neurologic Manifestations
5967,Facial Palsy,MeSH,Neurologic Manifestations
