,Neurological Disease,Disease Class,Source
1302,Orthorexia,Psychiatry and Psychology Category,MeSH
1303,Obsessive Healthy Eating,Psychiatry and Psychology Category,MeSH
1304,"Healthy Eating, Obsessive",Psychiatry and Psychology Category,MeSH
1305,Allotriophagy,Diseases Category,MeSH
1306,Geophagia,Diseases Category,MeSH
1307,RED-S Relative Energy Deficiency in Sport,Psychiatry and Psychology Category,MeSH
1308,RED S Relative Energy Deficiency in Sport,Psychiatry and Psychology Category,MeSH
1309,RED-S,Psychiatry and Psychology Category,MeSH
1310,RED S,Psychiatry and Psychology Category,MeSH
1311,RED-Ss,Psychiatry and Psychology Category,MeSH
1312,Rumination Syndromes,Diseases Category,MeSH
1313,Merycism,Diseases Category,MeSH
1314,Rumination Disorders,Diseases Category,MeSH
1315,Rumination Disorder,Diseases Category,MeSH
1316,"Disorder, Mood",Psychiatry and Psychology Category,MeSH
1317,"Disorders, Mood",Psychiatry and Psychology Category,MeSH
1318,Mood Disorder,Psychiatry and Psychology Category,MeSH
1319,Affective Disorders,Psychiatry and Psychology Category,MeSH
1320,Affective Disorder,Psychiatry and Psychology Category,MeSH
1321,"Disorder, Affective",Psychiatry and Psychology Category,MeSH
1322,"Disorders, Affective",Psychiatry and Psychology Category,MeSH
1323,Cyclothymic Disorders,Psychiatry and Psychology Category,MeSH
1324,"Disorder, Cyclothymic",Psychiatry and Psychology Category,MeSH
1325,Cyclothymic Personality,Psychiatry and Psychology Category,MeSH
1326,Cyclothymic Personalities,Psychiatry and Psychology Category,MeSH
1327,"Personality, Cyclothymic",Psychiatry and Psychology Category,MeSH
1328,Cyclothymia,Psychiatry and Psychology Category,MeSH
1329,Depressive Disorders,Psychiatry and Psychology Category,MeSH
1330,"Disorder, Depressive",Psychiatry and Psychology Category,MeSH
1331,"Disorders, Depressive",Psychiatry and Psychology Category,MeSH
1332,"Neurosis, Depressive",Psychiatry and Psychology Category,MeSH
1333,Depressive Neuroses,Psychiatry and Psychology Category,MeSH
1334,Depressive Neurosis,Psychiatry and Psychology Category,MeSH
1335,"Neuroses, Depressive",Psychiatry and Psychology Category,MeSH
1336,"Depression, Endogenous",Psychiatry and Psychology Category,MeSH
1337,"Depressions, Endogenous",Psychiatry and Psychology Category,MeSH
1338,Endogenous Depression,Psychiatry and Psychology Category,MeSH
1339,Endogenous Depressions,Psychiatry and Psychology Category,MeSH
1340,Depressive Syndrome,Psychiatry and Psychology Category,MeSH
1341,Depressive Syndromes,Psychiatry and Psychology Category,MeSH
1342,"Syndrome, Depressive",Psychiatry and Psychology Category,MeSH
1343,"Syndromes, Depressive",Psychiatry and Psychology Category,MeSH
1344,"Depression, Neurotic",Psychiatry and Psychology Category,MeSH
1345,"Depressions, Neurotic",Psychiatry and Psychology Category,MeSH
1346,Neurotic Depression,Psychiatry and Psychology Category,MeSH
1347,Neurotic Depressions,Psychiatry and Psychology Category,MeSH
1348,Melancholia,Psychiatry and Psychology Category,MeSH
1349,Melancholias,Psychiatry and Psychology Category,MeSH
1350,Unipolar Depression,Psychiatry and Psychology Category,MeSH
1351,"Depression, Unipolar",Psychiatry and Psychology Category,MeSH
1352,"Depressions, Unipolar",Psychiatry and Psychology Category,MeSH
1353,Unipolar Depressions,Psychiatry and Psychology Category,MeSH
1354,"Disorder, Neurocognitive",Psychiatry and Psychology Category,MeSH
1355,"Disorders, Neurocognitive",Psychiatry and Psychology Category,MeSH
1356,Neurocognitive Disorder,Psychiatry and Psychology Category,MeSH
1357,Kandinsky Syndrome,Psychiatry and Psychology Category,MeSH
1358,Clerambault Syndrome,Psychiatry and Psychology Category,MeSH
1359,"Organic Mental Disorders, Psychotic",Psychiatry and Psychology Category,MeSH
1360,"Delirium, Dementia, Amnestic, Cognitive Disorders",Psychiatry and Psychology Category,MeSH
1361,"Mental Disorders, Organic",Psychiatry and Psychology Category,MeSH
1362,"Disorders, Organic Mental",Psychiatry and Psychology Category,MeSH
1363,"Mental Disorder, Organic",Psychiatry and Psychology Category,MeSH
1364,Organic Mental Disorder,Psychiatry and Psychology Category,MeSH
1365,Organic Mental Disorders,Psychiatry and Psychology Category,MeSH
1366,Mild Neurocognitive Disorder,Psychiatry and Psychology Category,MeSH
1367,"Disorder, Mild Neurocognitive",Psychiatry and Psychology Category,MeSH
1368,"Disorders, Mild Neurocognitive",Psychiatry and Psychology Category,MeSH
1369,Mild Neurocognitive Disorders,Psychiatry and Psychology Category,MeSH
1370,"Neurocognitive Disorder, Mild",Psychiatry and Psychology Category,MeSH
1371,"Neurocognitive Disorders, Mild",Psychiatry and Psychology Category,MeSH
1372,"Organic Brain Syndrome, Nonpsychotic",Psychiatry and Psychology Category,MeSH
1373,Nonpsychotic Organic Brain Syndrome,Psychiatry and Psychology Category,MeSH
1374,"Psychoses, Traumatic",Psychiatry and Psychology Category,MeSH
1375,Traumatic Psychoses,Psychiatry and Psychology Category,MeSH
1376,"Disorder, Cognition",Psychiatry and Psychology Category,MeSH
1377,"Disorders, Cognition",Psychiatry and Psychology Category,MeSH
1378,Overinclusion,Psychiatry and Psychology Category,MeSH
1379,Dementias,Diseases Category,MeSH
1380,Amentia,Diseases Category,MeSH
1381,Amentias,Diseases Category,MeSH
1382,Senile Paranoid Dementia,Diseases Category,MeSH
1383,"Dementias, Senile Paranoid",Diseases Category,MeSH
1384,"Paranoid Dementia, Senile",Diseases Category,MeSH
1385,"Paranoid Dementias, Senile",Diseases Category,MeSH
1386,Senile Paranoid Dementias,Diseases Category,MeSH
1387,Familial Dementia,Diseases Category,MeSH
1388,"Dementia, Familial",Diseases Category,MeSH
1389,"Dementias, Familial",Diseases Category,MeSH
1390,Familial Dementias,Diseases Category,MeSH
1391,Acquired Dyslexia,Diseases Category,MeSH
1392,"Word Blindness, Acquired",Diseases Category,MeSH
1393,Acquired Word Blindness,Diseases Category,MeSH
1394,Acquired Word Blindnesses,Diseases Category,MeSH
1395,"Blindness, Acquired Word",Diseases Category,MeSH
1396,"Blindnesses, Acquired Word",Diseases Category,MeSH
1397,"Word Blindnesses, Acquired",Diseases Category,MeSH
1398,"Reading Disability, Acquired",Diseases Category,MeSH
1399,Acquired Reading Disabilities,Diseases Category,MeSH
1400,Acquired Reading Disability,Diseases Category,MeSH
1401,"Disabilities, Acquired Reading",Diseases Category,MeSH
1402,"Disability, Acquired Reading",Diseases Category,MeSH
1403,"Reading Disabilities, Acquired",Diseases Category,MeSH
1404,Acquired Global Dyslexia,Diseases Category,MeSH
1405,"Dyslexia, Acquired Global",Diseases Category,MeSH
1406,"Global Dyslexia, Acquired",Diseases Category,MeSH
1407,Acquired Spelling Dyslexia,Diseases Category,MeSH
1408,"Dyslexia, Acquired Spelling",Diseases Category,MeSH
1409,"Spelling Dyslexia, Acquired",Diseases Category,MeSH
1410,"Alexia, Acquired",Diseases Category,MeSH
1411,Acquired Alexia,Diseases Category,MeSH
1412,"Disorder, Neurodevelopmental",Psychiatry and Psychology Category,MeSH
1413,Neurodevelopmental Disorder,Psychiatry and Psychology Category,MeSH
1414,"Mental Disorders Usually Diagnosed in Infancy, Childhood or Adolescence",Psychiatry and Psychology Category,MeSH
1415,Mental Disorders Diagnosed in Childhood,Psychiatry and Psychology Category,MeSH
1416,Child Mental Disorders,Psychiatry and Psychology Category,MeSH
1417,Child Mental Disorder,Psychiatry and Psychology Category,MeSH
1418,"Disorder, Child Mental",Psychiatry and Psychology Category,MeSH
1419,"Mental Disorder, Child",Psychiatry and Psychology Category,MeSH
1420,"Mental Disorders, Child",Psychiatry and Psychology Category,MeSH
1421,"Neurodevelopmental Disorders Usually Diagnosed in Infancy, Childhood or Adolescence",Psychiatry and Psychology Category,MeSH
1422,Attention Deficit and Disruptive Behavioral Disorders,Psychiatry and Psychology Category,MeSH
1423,Disruptive Behavior Disorder,Psychiatry and Psychology Category,MeSH
1424,"Behavior Disorder, Disruptive",Psychiatry and Psychology Category,MeSH
1425,Disruptive Behavioral Disorder,Psychiatry and Psychology Category,MeSH
1426,"Behavioral Disorder, Disruptive",Psychiatry and Psychology Category,MeSH
1427,"Disorder, Disruptive Behavioral",Psychiatry and Psychology Category,MeSH
1428,Disruptive Behavioral Disorders,Psychiatry and Psychology Category,MeSH
1429,"Behavior Disorder, Child",Psychiatry and Psychology Category,MeSH
1430,Child Behavior Disorder,Psychiatry and Psychology Category,MeSH
1431,Childhood Behavior Disorders,Psychiatry and Psychology Category,MeSH
1432,"Behavior Disorder, Childhood",Psychiatry and Psychology Category,MeSH
1433,Childhood Behavior Disorder,Psychiatry and Psychology Category,MeSH
1434,"Disorder, Childhood Behavior",Psychiatry and Psychology Category,MeSH
1435,Pervasive Child Development Disorders,Psychiatry and Psychology Category,MeSH
1436,Pervasive Development Disorders,Psychiatry and Psychology Category,MeSH
1437,"Disabilities, Developmental",Psychiatry and Psychology Category,MeSH
1438,Developmental Disability,Psychiatry and Psychology Category,MeSH
1439,"Disability, Developmental",Psychiatry and Psychology Category,MeSH
1440,"Development Disorders, Child",Psychiatry and Psychology Category,MeSH
1441,Child Development Disorder,Psychiatry and Psychology Category,MeSH
1442,"Development Disorder, Child",Psychiatry and Psychology Category,MeSH
1443,Child Development Disorders,Psychiatry and Psychology Category,MeSH
1444,"Child Development Disorders, Specific",Psychiatry and Psychology Category,MeSH
1445,Developmental Delay Disorders,Psychiatry and Psychology Category,MeSH
1446,Developmental Delay Disorder,Psychiatry and Psychology Category,MeSH
1447,Child Development Deviations,Psychiatry and Psychology Category,MeSH
1448,Child Development Deviation,Psychiatry and Psychology Category,MeSH
1449,"Development Deviation, Child",Psychiatry and Psychology Category,MeSH
1450,"Development Deviations, Child",Psychiatry and Psychology Category,MeSH
1451,"Deviation, Child Development",Psychiatry and Psychology Category,MeSH
1452,Motor Skills Disorder,Psychiatry and Psychology Category,MeSH
1453,Developmental Coordination Disorder,Psychiatry and Psychology Category,MeSH
1454,"Coordination Disorder, Developmental",Psychiatry and Psychology Category,MeSH
1455,Developmental Coordination Disorders,Psychiatry and Psychology Category,MeSH
1456,Mutisms,Diseases Category,MeSH
1457,Selective Mutism,Diseases Category,MeSH
1458,"Mutism, Selective",Diseases Category,MeSH
1459,"Mutism, Voluntary",Diseases Category,MeSH
1460,"Mutisms, Voluntary",Diseases Category,MeSH
1461,Voluntary Mutism,Diseases Category,MeSH
1462,Voluntary Mutisms,Diseases Category,MeSH
1463,"Mutism, Elective",Diseases Category,MeSH
1464,Elective Mutism,Diseases Category,MeSH
1465,Elective Mutisms,Diseases Category,MeSH
1466,"Mutisms, Elective",Diseases Category,MeSH
1467,"Mutism, Organic",Diseases Category,MeSH
1468,"Mutisms, Organic",Diseases Category,MeSH
1469,Organic Mutism,Diseases Category,MeSH
1470,Organic Mutisms,Diseases Category,MeSH
1471,Kussmaul Aphasia,Diseases Category,MeSH
1472,"Aphasia, Kussmaul",Diseases Category,MeSH
1473,Kussmaul's Aphasia,Diseases Category,MeSH
1474,"Aphasia, Kussmaul's",Diseases Category,MeSH
1475,Kussmauls Aphasia,Diseases Category,MeSH
1476,"Mutism, Conversion",Diseases Category,MeSH
1477,Conversion Mutism,Diseases Category,MeSH
1478,Conversion Mutisms,Diseases Category,MeSH
1479,"Mutisms, Conversion",Diseases Category,MeSH
1480,"Attachment Disorder, Reactive",Psychiatry and Psychology Category,MeSH
1481,"Attachment Disorders, Reactive",Psychiatry and Psychology Category,MeSH
1482,"Disorder, Reactive Attachment",Psychiatry and Psychology Category,MeSH
1483,"Disorders, Reactive Attachment",Psychiatry and Psychology Category,MeSH
1484,Reactive Attachment Disorders,Psychiatry and Psychology Category,MeSH
1485,Childhood-Onset Schizophrenia,Psychiatry and Psychology Category,MeSH
1486,Childhood Onset Schizophrenia,Psychiatry and Psychology Category,MeSH
1487,"Schizophrenia, Childhood-Onset",Psychiatry and Psychology Category,MeSH
1488,Childhood Schizophrenia,Psychiatry and Psychology Category,MeSH
1489,Stereotypic Movement Disorders,Psychiatry and Psychology Category,MeSH
1490,"Movement Disorder, Stereotypic",Psychiatry and Psychology Category,MeSH
1491,Body Rocking,Psychiatry and Psychology Category,MeSH
1492,Head Banging,Psychiatry and Psychology Category,MeSH
1493,Tic Disorder,Diseases Category,MeSH
1494,Chronic Motor or Vocal Tic Disorder,Diseases Category,MeSH
1495,"Tic Disorder, Chronic Motor or Vocal",Diseases Category,MeSH
1496,"Motor or Vocal Tic Disorder, Chronic",Diseases Category,MeSH
1497,Transient Tic Disorder,Diseases Category,MeSH
1498,"Tic Disorders, Transient",Diseases Category,MeSH
1499,Transient Tic Disorders,Diseases Category,MeSH
1500,"Tic Disorder, Transient",Diseases Category,MeSH
1501,Post-Traumatic Tic Disorder,Diseases Category,MeSH
1502,Post Traumatic Tic Disorder,Diseases Category,MeSH
1503,Post-Traumatic Tic Disorders,Diseases Category,MeSH
1504,"Tic Disorders, Post-Traumatic",Diseases Category,MeSH
1505,"Tic Disorder, Post-Traumatic",Diseases Category,MeSH
1506,"Tic Disorder, Post Traumatic",Diseases Category,MeSH
1507,"Tic Disorders, Vocal",Diseases Category,MeSH
1508,"Tic Disorder, Vocal",Diseases Category,MeSH
1509,Vocal Tic Disorder,Diseases Category,MeSH
1510,Vocal Tic Disorders,Diseases Category,MeSH
1511,Childhood Tic Disorders,Diseases Category,MeSH
1512,Childhood Tic Disorder,Diseases Category,MeSH
1513,"Tic Disorder, Childhood",Diseases Category,MeSH
1514,"Tic Disorders, Childhood",Diseases Category,MeSH
1515,Motor Tic Disorders,Diseases Category,MeSH
1516,Motor Tic Disorder,Diseases Category,MeSH
1517,"Tic Disorder, Motor",Diseases Category,MeSH
1518,"Tic Disorders, Motor",Diseases Category,MeSH
1519,"Disorder, Paraphilic",Psychiatry and Psychology Category,MeSH
1520,"Disorders, Paraphilic",Psychiatry and Psychology Category,MeSH
1521,Paraphilic Disorder,Psychiatry and Psychology Category,MeSH
1522,Paraphilias,Psychiatry and Psychology Category,MeSH
1523,Paraphilia,Psychiatry and Psychology Category,MeSH
1524,Sex Deviations,Psychiatry and Psychology Category,MeSH
1525,"Deviation, Sex",Psychiatry and Psychology Category,MeSH
1526,"Deviations, Sex",Psychiatry and Psychology Category,MeSH
1527,Sex Deviation,Psychiatry and Psychology Category,MeSH
1528,Exhibitionisms,Psychiatry and Psychology Category,MeSH
1529,Psychiatric Fetishism,Psychiatry and Psychology Category,MeSH
1530,Fetishism (Psychiatric),Psychiatry and Psychology Category,MeSH
1531,Masochisms,Psychiatry and Psychology Category,MeSH
1532,Sexual Masochism,Psychiatry and Psychology Category,MeSH
1533,"Masochism, Sexual",Psychiatry and Psychology Category,MeSH
1534,"Masochisms, Sexual",Psychiatry and Psychology Category,MeSH
1535,Sexual Masochisms,Psychiatry and Psychology Category,MeSH
1536,Pedophilias,Psychiatry and Psychology Category,MeSH
1537,Pederasty,Psychiatry and Psychology Category,MeSH
1538,Pederasties,Psychiatry and Psychology Category,MeSH
1539,Sadisms,Psychiatry and Psychology Category,MeSH
1540,Sexual Sadism,Psychiatry and Psychology Category,MeSH
1541,"Sadism, Sexual",Psychiatry and Psychology Category,MeSH
1542,"Sadisms, Sexual",Psychiatry and Psychology Category,MeSH
1543,Sexual Sadisms,Psychiatry and Psychology Category,MeSH
1544,Voyeurisms,Psychiatry and Psychology Category,MeSH
1545,Personality Disorder,Psychiatry and Psychology Category,MeSH
1546,Inadequate Personality,Psychiatry and Psychology Category,MeSH
1547,"Personality, Inadequate",Psychiatry and Psychology Category,MeSH
1548,Avoidant Personality Disorder,Psychiatry and Psychology Category,MeSH
1549,Avoidant Personality Disorders,Psychiatry and Psychology Category,MeSH
1550,"Personality Disorder, Avoidant",Psychiatry and Psychology Category,MeSH
1551,"Personality Disorders, Avoidant",Psychiatry and Psychology Category,MeSH
1552,Impulse-Ridden Personality,Psychiatry and Psychology Category,MeSH
1553,Impulse Ridden Personality,Psychiatry and Psychology Category,MeSH
1554,"Personality, Impulse-Ridden",Psychiatry and Psychology Category,MeSH
1555,Antisocial Personality Disorders,Psychiatry and Psychology Category,MeSH
1556,"Disorder, Antisocial Personality",Psychiatry and Psychology Category,MeSH
1557,"Disorders, Antisocial Personality",Psychiatry and Psychology Category,MeSH
1558,"Personality Disorders, Antisocial",Psychiatry and Psychology Category,MeSH
1559,Sociopathic Personality,Psychiatry and Psychology Category,MeSH
1560,"Personalities, Sociopathic",Psychiatry and Psychology Category,MeSH
1561,"Personality, Sociopathic",Psychiatry and Psychology Category,MeSH
1562,Sociopathic Personalities,Psychiatry and Psychology Category,MeSH
1563,Psychopathic Personality,Psychiatry and Psychology Category,MeSH
1564,"Personalities, Psychopathic",Psychiatry and Psychology Category,MeSH
1565,"Personality, Psychopathic",Psychiatry and Psychology Category,MeSH
1566,Psychopathic Personalities,Psychiatry and Psychology Category,MeSH
1567,Antisocial Personality,Psychiatry and Psychology Category,MeSH
1568,Antisocial Personalities,Psychiatry and Psychology Category,MeSH
1569,"Personalities, Antisocial",Psychiatry and Psychology Category,MeSH
1570,"Personality, Antisocial",Psychiatry and Psychology Category,MeSH
1571,"Personality Disorder, Antisocial",Psychiatry and Psychology Category,MeSH
1572,Dyssocial Behavior,Psychiatry and Psychology Category,MeSH
1573,"Behavior, Dyssocial",Psychiatry and Psychology Category,MeSH
1574,"Behaviors, Dyssocial",Psychiatry and Psychology Category,MeSH
1575,Dyssocial Behaviors,Psychiatry and Psychology Category,MeSH
1576,Antisocial Behavior,Psychiatry and Psychology Category,MeSH
